

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     320   1.7590106377E-02   2.2402086186E-02  3.30E-01  1.85E-11  1.28E-13  5.33E-11  7.99E-03  8.65E-01  8.66E+09  
     330   2.1053621329E-02   2.4690081759E-02  3.27E-01  1.81E-11  6.22E-15  5.26E-11  3.97E-04  8.65E-01  8.66E+09  
     340   2.1360776685E-02   2.4914507361E-02  3.28E-01  1.81E-11  4.59E-17  5.25E-11  2.93E-06  8.65E-01  8.66E+09  
     350   2.1397468158E-02   2.4941724859E-02  3.28E-01  1.81E-11  1.41E-19  5.25E-11  9.01E-09  8.65E-01  8.66E+09  
     360   2.1440340218E-02   2.4883697536E-02  3.28E-01  1.81E-11  9.78E-19  5.24E-11  6.25E-08  8.65E-01  8.66E+09  
     370   2.2204264490E-02   2.4316318506E-02  3.35E-01  1.79E-11  1.04E-18  5.10E-11  6.68E-08  8.65E-01  8.66E+09  
     380   2.2386700086E-02   2.4201066772E-02  3.37E-01  1.79E-11  1.63E-18  5.07E-11  1.06E-07  8.65E-01  8.66E+09  
     390   2.2513857972E-02   2.4276497910E-02  3.37E-01  1.78E-11  1.03E-17  5.06E-11  6.70E-07  8.65E-01  8.66E+09  
     400   2.3840587304E-02   2.5367140419E-02  3.38E-01  1.77E-11  5.01E-15  5.00E-11  3.27E-04  8.65E-01  8.66E+09  
     410   2.5568890034E-02   2.6818256121E-02  3.40E-01  1.75E-11  3.45E-13  4.93E-11  2.28E-02  8.65E-01  8.66E+09  
     420   3.0170935703E-02   3.0762476122E-02  3.49E-01  1.70E-11  2.89E-15  4.69E-11  1.96E-04  8.65E-01  8.66E+09  
     430   3.0257121460E-02   3.1000988370E-02  3.49E-01  1.70E-11  3.94E-17  4.68E-11  2.68E-06  8.65E-01  8.66E+09  
     440   3.0339046515E-02   3.1294910097E-02  3.49E-01  1.70E-11  2.66E-19  4.68E-11  1.81E-08  8.65E-01  8.66E+09  
     450   3.0453133964E-02   3.1776588661E-02  3.49E-01  1.70E-11  1.31E-19  4.67E-11  8.92E-09  8.65E-01  8.66E+09  
     460   3.0483050132E-02   3.1956000724E-02  3.49E-01  1.70E-11  1.71E-18  4.67E-11  1.17E-07  8.65E-01  8.66E+09  
     470   3.0537472388E-02   3.1963954883E-02  3.50E-01  1.70E-11  4.49E-14  4.67E-11  3.06E-03  8.65E-01  8.66E+09  
     480   3.1561030968E-02   3.2462189935E-02  3.52E-01  1.69E-11  1.30E-17  4.62E-11  8.92E-07  8.65E-01  8.66E+09  
     490   3.6295546802E-02   3.4844468618E-02  3.63E-01  1.64E-11  5.72E-19  4.38E-11  4.02E-08  8.65E-01  8.66E+09  
     500   3.7574654591E-02   3.5573923437E-02  3.67E-01  1.63E-11  1.32E-16  4.31E-11  9.33E-06  8.65E-01  8.66E+09  
     510   3.8207245235E-02   3.6304943145E-02  3.69E-01  1.63E-11  8.89E-14  4.27E-11  6.32E-03  8.65E-01  8.66E+09  
     520   4.0300353326E-02   3.8921297708E-02  3.76E-01  1.60E-11  4.11E-18  4.14E-11  2.97E-07  8.65E-01  8.66E+09  
     530   4.2047468708E-02   4.1178611186E-02  3.83E-01  1.58E-11  1.66E-18  4.02E-11  1.21E-07  8.65E-01  8.66E+09  
     540   4.2282033167E-02   4.1543138567E-02  3.85E-01  1.58E-11  2.73E-18  4.01E-11  2.00E-07  8.65E-01  8.66E+09  
     550   4.2290454793E-02   4.1569874420E-02  3.85E-01  1.58E-11  3.11E-16  4.00E-11  2.27E-05  8.65E-01  8.66E+09  
     560   4.2720298867E-02   4.1512866092E-02  3.85E-01  1.58E-11  1.66E-14  4.00E-11  1.22E-03  8.65E-01  8.66E+09  
     570   4.3611842216E-02   4.1433739771E-02  3.86E-01  1.57E-11  3.05E-16  3.98E-11  2.24E-05  8.65E-01  8.66E+09  
     580   4.3710749274E-02   4.1469727667E-02  3.86E-01  1.57E-11  1.03E-18  3.98E-11  7.57E-08  8.65E-01  8.66E+09  
     590   4.4383940792E-02   4.1866787857E-02  3.88E-01  1.57E-11  3.18E-19  3.95E-11  2.34E-08  8.65E-01  8.66E+09  
     600   4.9130860411E-02   4.5077920103E-02  4.01E-01  1.53E-11  3.89E-18  3.74E-11  2.94E-07  8.65E-01  8.66E+09  
     610   5.3746797030E-02   4.8250816522E-02  4.15E-01  1.49E-11  1.56E-15  3.54E-11  1.21E-04  8.65E-01  8.66E+09  
     620   5.4343528120E-02   4.8684399751E-02  4.17E-01  1.48E-11  2.11E-14  3.52E-11  1.64E-03  8.65E-01  8.66E+09  
     630   5.4505260691E-02   4.8935805120E-02  4.18E-01  1.48E-11  6.82E-18  3.51E-11  5.31E-07  8.65E-01  8.66E+09  
     640   5.4669905068E-02   4.9323050082E-02  4.19E-01  1.48E-11  5.64E-19  3.49E-11  4.41E-08  8.65E-01  8.66E+09  
