

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     35      checkA   =   T          precon   =   F
 itnlim   =    140      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
      40  -1.2661464643E-02   3.3165835340E-03  2.00E-01  1.00E-05  2.34E-06  5.52E-06  2.67E-02  8.74E+00  1.89E+03  
      41  -1.2662044931E-02   3.3154344656E-03  2.00E-01  9.97E-06  1.86E-06  5.51E-06  2.13E-02  8.74E+00  4.79E+03  
      42  -1.2662114604E-02   3.3146329251E-03  2.00E-01  9.96E-06  1.42E-06  5.50E-06  1.63E-02  8.74E+00  1.89E+03  
      43  -1.2661990122E-02   3.3133282777E-03  2.00E-01  9.96E-06  9.96E-07  5.50E-06  1.14E-02  8.74E+00  4.79E+03  
      44  -1.2594607068E-02   2.9171826816E-03  2.01E-01  8.13E-06  1.62E-06  4.48E-06  2.28E-02  8.74E+00  4.03E+03  
      45  -1.2480683685E-02   2.2668022137E-03  2.01E-01  3.57E-06  3.37E-06  1.96E-06  1.08E-01  8.74E+00  5.19E+03  
      46  -1.2474470679E-02   2.2326759046E-03  2.01E-01  3.15E-06  4.87E-07  1.73E-06  1.77E-02  8.74E+00  4.03E+03  
      47  -1.2474268251E-02   2.2324658650E-03  2.01E-01  3.15E-06  1.37E-07  1.73E-06  4.97E-03  8.74E+00  5.19E+03  
      48  -1.2464913222E-02   2.2329867719E-03  2.01E-01  3.10E-06  8.11E-07  1.71E-06  2.99E-02  8.74E+00  4.03E+03  
      49  -1.2256669976E-02   2.2488371383E-03  2.01E-01  1.97E-06  3.87E-07  1.08E-06  2.24E-02  8.74E+00  5.19E+03  

      50  -1.2136562149E-02   2.2584491301E-03  2.01E-01  7.86E-07  2.38E-07  4.32E-07  3.47E-02  8.74E+00  4.03E+03  
      51  -1.2136506626E-02   2.2584781433E-03  2.01E-01  7.85E-07  5.61E-08  4.31E-07  8.13E-03  8.74E+00  5.19E+03  
      52  -1.2135389425E-02   2.2598214092E-03  2.01E-01  7.78E-07  9.33E-08  4.25E-07  1.36E-02  8.80E+00  4.06E+03  
      53  -1.2132740754E-02   2.2631268729E-03  2.01E-01  7.64E-07  4.81E-08  4.17E-07  7.16E-03  8.80E+00  5.22E+03  
      54  -1.2131337135E-02   2.2649265787E-03  2.01E-01  7.58E-07  4.26E-07  4.14E-07  6.38E-02  8.80E+00  4.06E+03  
      55  -1.2061428221E-02   2.3549224136E-03  2.01E-01  3.30E-07  6.69E-08  1.80E-07  2.30E-02  8.80E+00  5.66E+03  
      56  -1.2055995209E-02   2.3616785883E-03  2.01E-01  2.72E-07  9.29E-08  1.49E-07  3.88E-02  8.80E+00  4.06E+03  
      57  -1.2050665155E-02   2.3680606801E-03  2.01E-01  2.00E-07  3.43E-08  1.09E-07  1.95E-02  8.80E+00  5.66E+03  
      58  -1.2050550443E-02   2.3681703734E-03  2.01E-01  1.99E-07  3.84E-08  1.08E-07  2.20E-02  8.80E+00  4.06E+03  
      59  -1.2050478182E-02   2.3682134625E-03  2.01E-01  1.98E-07  3.63E-08  1.08E-07  2.09E-02  8.80E+00  5.66E+03  

      60  -1.2050370915E-02   2.3682413040E-03  2.01E-01  1.96E-07  2.95E-08  1.07E-07  1.71E-02  8.80E+00  4.06E+03  
      61  -1.2050117110E-02   2.3682303797E-03  2.01E-01  1.93E-07  1.11E-07  1.05E-07  6.55E-02  8.80E+00  5.66E+03  
      62  -1.2050073930E-02   2.3682230216E-03  2.01E-01  1.92E-07  5.90E-09  1.05E-07  3.49E-03  8.80E+00  4.06E+03  
      63  -1.2048984205E-02   2.3666658271E-03  2.01E-01  1.84E-07  6.77E-09  1.01E-07  4.18E-03  8.80E+00  5.66E+03  
      64  -1.2047899042E-02   2.3649673656E-03  2.01E-01  1.77E-07  8.48E-08  9.65E-08  5.45E-02  8.80E+00  4.06E+03  
      65  -1.2044181381E-02   2.3591173693E-03  2.01E-01  1.49E-07  4.82E-08  8.14E-08  3.68E-02  8.80E+00  5.66E+03  
      66  -1.2039538454E-02   2.3518172945E-03  2.01E-01  1.05E-07  2.06E-08  5.75E-08  2.22E-02  8.80E+00  4.47E+03  
      67  -1.2039367746E-02   2.3515399253E-03  2.01E-01  1.03E-07  7.24E-08  5.64E-08  7.96E-02  8.80E+00  5.66E+03  
      68  -1.2038022681E-02   2.3493466552E-03  2.01E-01  8.74E-08  2.63E-08  4.77E-08  3.43E-02  8.80E+00  4.47E+03  
