

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   1.11E+00   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     380  -3.9170454777E-02  1.67E+00  1.20E-05  6.77E-06  4.41E-07  3.60E-02  1.57E+01  1.36E+05  
     390  -3.9087553344E-02  1.69E+00  1.16E-05  3.81E-07  4.21E-07  2.10E-03  1.57E+01  1.36E+05  
     400  -3.8979491347E-02  1.72E+00  1.10E-05  5.65E-07  3.93E-07  3.27E-03  1.57E+01  1.36E+05  
     410  -3.8921772370E-02  1.74E+00  1.07E-05  1.52E-07  3.76E-07  9.13E-04  1.57E+01  1.36E+05  
     420  -3.8892875739E-02  1.77E+00  1.02E-05  1.73E-06  3.54E-07  1.08E-02  1.57E+01  1.36E+05  
     430  -3.9071512546E-02  1.79E+00  9.82E-06  1.10E-06  3.36E-07  7.18E-03  1.57E+01  1.36E+05  
     440  -3.9215829038E-02  1.81E+00  9.53E-06  2.67E-07  3.23E-07  1.79E-03  1.57E+01  1.36E+05  
     450  -3.9296418957E-02  1.83E+00  9.32E-06  1.12E-06  3.13E-07  7.68E-03  1.57E+01  1.36E+05  
     460  -3.9343135225E-02  1.85E+00  9.09E-06  1.17E-06  3.02E-07  8.24E-03  1.57E+01  1.51E+05  
     470  -3.9376325035E-02  1.86E+00  8.98E-06  4.15E-07  2.96E-07  2.95E-03  1.57E+01  1.51E+05  
     480  -3.9561436966E-02  1.90E+00  8.65E-06  2.36E-07  2.81E-07  1.74E-03  1.57E+01  1.51E+05  
     490  -3.9926913457E-02  1.94E+00  8.25E-06  1.62E-07  2.62E-07  1.25E-03  1.57E+01  2.97E+05  
     500  -4.0061512950E-02  1.96E+00  8.11E-06  6.99E-07  2.55E-07  5.51E-03  1.57E+01  2.97E+05  
