

 Enter MINRES-QLP.      Solution of symmetric   Ax = b
 n        =    240      ||b||    =   5.00E-01   precon   =   F
 itnlim   =    960      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter   x(1)              xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     380   1.1595189166E-03  2.23E+00  1.33E-05  8.07E-07  6.77E-07  7.08E-03  8.58E+00  7.00E+04  
     390   1.1533144602E-03  2.27E+00  1.22E-05  7.60E-07  6.12E-07  7.25E-03  8.58E+00  7.00E+04  
     400   1.1592469085E-03  2.29E+00  1.15E-05  3.78E-06  5.69E-07  3.84E-02  8.58E+00  7.00E+04  
     410   1.1578931283E-03  2.33E+00  1.04E-05  8.82E-07  5.10E-07  9.85E-03  8.58E+00  7.00E+04  
     420   1.1563184045E-03  2.36E+00  9.60E-06  2.97E-06  4.63E-07  3.61E-02  8.58E+00  7.00E+04  
     430   1.1551929403E-03  2.38E+00  9.00E-06  4.53E-06  4.30E-07  5.86E-02  8.58E+00  7.00E+04  
     440   1.1533909229E-03  2.41E+00  8.08E-06  4.70E-07  3.82E-07  6.79E-03  8.58E+00  7.00E+04  
     450   1.1587180449E-03  2.43E+00  7.22E-06  1.23E-06  3.38E-07  1.99E-02  8.58E+00  7.00E+04  
     460   1.1617437807E-03  2.46E+00  6.54E-06  1.02E-06  3.03E-07  1.82E-02  8.58E+00  7.00E+04  
     470   1.1600415234E-03  2.47E+00  5.95E-06  1.33E-06  2.74E-07  2.61E-02  8.58E+00  7.00E+04  
     480   1.1575055041E-03  2.48E+00  5.70E-06  3.61E-07  2.62E-07  7.39E-03  8.58E+00  7.00E+04  
     490   1.1454197723E-03  2.49E+00  5.26E-06  7.30E-07  2.41E-07  1.62E-02  8.58E+00  7.00E+04  
     500   1.1357433400E-03  2.51E+00  4.75E-06  3.21E-07  2.16E-07  7.88E-03  8.58E+00  7.00E+04  
     510   1.1485690751E-03  2.51E+00  4.37E-06  3.79E-07  1.98E-07  1.01E-02  8.58E+00  7.15E+04  
     520   1.1469861532E-03  2.52E+00  4.13E-06  1.02E-06  1.87E-07  2.88E-02  8.58E+00  7.15E+04  
     530   1.1303377916E-03  2.53E+00  3.60E-06  3.34E-07  1.62E-07  1.08E-02  8.58E+00  7.15E+04  
     540   1.1288652973E-03  2.54E+00  3.44E-06  6.24E-07  1.55E-07  2.11E-02  8.58E+00  7.15E+04  
     550   1.1340411446E-03  2.54E+00  3.12E-06  3.62E-07  1.40E-07  1.35E-02  8.58E+00  7.15E+04  
     560   1.1367150339E-03  2.55E+00  2.85E-06  4.99E-07  1.27E-07  2.04E-02  8.58E+00  7.15E+04  
     570   1.1377877330E-03  2.55E+00  2.76E-06  2.14E-07  1.23E-07  9.02E-03  8.58E+00  7.15E+04  
     580   1.1456245248E-03  2.56E+00  2.40E-06  2.95E-07  1.07E-07  1.44E-02  8.58E+00  7.15E+04  
     590   1.1464264092E-03  2.56E+00  2.25E-06  9.34E-07  1.00E-07  4.84E-02  8.58E+00  7.15E+04  
     600   1.1435932537E-03  2.57E+00  1.90E-06  2.08E-07  8.44E-08  1.28E-02  8.58E+00  8.49E+04  
     610   1.1426068182E-03  2.57E+00  1.81E-06  2.05E-07  8.04E-08  1.32E-02  8.58E+00  8.49E+04  
     620   1.1382062336E-03  2.57E+00  1.53E-06  5.33E-07  6.80E-08  4.06E-02  8.58E+00  8.87E+04  
     630   1.1377046385E-03  2.57E+00  1.52E-06  3.93E-08  6.73E-08  3.01E-03  8.58E+00  8.87E+04  
     640   1.1315980463E-03  2.57E+00  1.43E-06  7.99E-08  6.35E-08  6.50E-03  8.58E+00  8.87E+04  
     650   1.1290105218E-03  2.57E+00  1.38E-06  2.57E-07  6.10E-08  2.17E-02  8.58E+00  8.87E+04  
     660   1.1325853216E-03  2.58E+00  1.36E-06  9.43E-08  6.00E-08  8.11E-03  8.58E+00  8.87E+04  
     670   1.1345802064E-03  2.58E+00  1.31E-06  3.83E-08  5.81E-08  3.40E-03  8.58E+00  8.87E+04  
     680   1.1396287082E-03  2.58E+00  1.18E-06  1.38E-07  5.22E-08  1.36E-02  8.58E+00  1.58E+05  
     690   1.1396336300E-03  2.58E+00  1.16E-06  2.93E-08  5.14E-08  2.94E-03  8.58E+00  1.58E+05  
     700   1.1375884702E-03  2.58E+00  1.15E-06  7.83E-08  5.08E-08  7.94E-03  8.58E+00  1.58E+05  
     710   1.1288936528E-03  2.58E+00  1.10E-06  1.33E-07  4.86E-08  1.41E-02  8.58E+00  1.58E+05  
     720   1.1261055489E-03  2.58E+00  1.09E-06  1.75E-08  4.79E-08  1.88E-03  8.58E+00  1.58E+05  
     730   1.1219025492E-03  2.58E+00  1.06E-06  3.46E-08  4.68E-08  3.81E-03  8.58E+00  1.58E+05  
     740   1.1115307577E-03  2.58E+00  9.84E-07  1.16E-07  4.34E-08  1.38E-02  8.58E+00  2.25E+05  
     750   1.1140524136E-03  2.59E+00  8.64E-07  9.03E-08  3.81E-08  1.22E-02  8.58E+00  2.25E+05  
     760   1.1171178010E-03  2.59E+00  7.98E-07  9.16E-08  3.51E-08  1.34E-02  8.58E+00  2.25E+05  
     770   1.1179253689E-03  2.59E+00  7.88E-07  7.33E-09  3.47E-08  1.08E-03  8.58E+00  2.25E+05  
     780   1.1210925668E-03  2.59E+00  7.82E-07  4.08E-09  3.44E-08  6.09E-04  8.58E+00  2.25E+05  
     790   1.1519829095E-03  2.59E+00  7.34E-07  2.24E-08  3.23E-08  3.56E-03  8.58E+00  2.47E+05  
     800   1.1741977069E-03  2.59E+00  6.89E-07  8.44E-08  3.03E-08  1.43E-02  8.58E+00  2.47E+05  
     810   1.1781868514E-03  2.59E+00  6.58E-07  6.72E-08  2.89E-08  1.19E-02  8.58E+00  2.47E+05  
     820   1.1731191811E-03  2.60E+00  6.10E-07  7.52E-08  2.68E-08  1.44E-02  8.58E+00  2.47E+05  
     830   1.1451377780E-03  2.60E+00  4.23E-07  3.04E-07  1.86E-08  8.36E-02  8.58E+00  2.85E+05  
     840   1.1227229017E-03  2.61E+00  1.69E-07  5.14E-08  7.39E-09  3.55E-02  8.58E+00  2.85E+05  
     850   1.1180376001E-03  2.61E+00  2.77E-08  1.64E-08  1.21E-09  6.92E-02  8.58E+00  2.85E+05  
     860   1.1179415489E-03  2.61E+00  1.38E-08  1.12E-08  6.04E-10  9.46E-02  8.58E+00  2.85E+05  
     870   1.1178898965E-03  2.61E+00  2.41E-09  7.67E-10  1.05E-10  3.72E-02  8.58E+00  2.85E+05  
     880   1.1178842199E-03  2.61E+00  7.83E-10  8.13E-10  3.43E-11  1.21E-01  8.58E+00  2.85E+05  
     890   1.1178828005E-03  2.61E+00  3.00E-10  9.18E-11  1.31E-11  3.56E-02  8.58E+00  2.85E+05  
     900   1.1178831545E-03  2.61E+00  1.42E-10  1.68E-10  6.20E-12  1.38E-01  8.58E+00  2.85E+05  
     910   1.1178832334E-03  2.61E+00  2.41E-11  2.52E-12  1.06E-12  1.22E-02  8.58E+00  2.85E+05  
     920   1.1178831790E-03  2.61E+00  7.64E-12  1.08E-11  3.34E-13  1.65E-01  8.58E+00  2.85E+05  
     930   1.1178831775E-03  2.61E+00  2.91E-12  1.76E-12  1.27E-13  7.05E-02  8.58E+00  2.85E+05  
     940   1.1178831835E-03  2.61E+00  1.03E-12  2.64E-13  4.52E-14  2.98E-02  8.58E+00  2.85E+05  
     949   1.1178831826E-03  2.61E+00  3.47E-13  1.12E-12  1.52E-14  3.76E-01  8.58E+00  4.41E+05  

     950   1.1178831824E-03  2.61E+00  1.81E-13  8.34E-14  7.92E-15  5.36E-02  8.58E+00  2.85E+05  
     951   1.1178831824E-03  2.61E+00  1.75E-13  4.49E-14  7.66E-15  2.99E-02  8.58E+00  4.41E+05  
     952   1.1178831824E-03  2.61E+00  1.67E-13  4.08E-14  7.32E-15  2.84E-02  8.58E+00  2.85E+05  
     953   1.1178831824E-03  2.61E+00  1.65E-13  2.17E-14  7.22E-15  1.54E-02  8.58E+00  4.41E+05  
     954   1.1178831824E-03  2.61E+00  1.64E-13  3.64E-14  7.17E-15  2.59E-02  8.58E+00  2.85E+05  
     955   1.1178831823E-03  2.61E+00  1.60E-13  4.74E-14  6.99E-15  3.46E-02  8.58E+00  4.41E+05  
     956   1.1178831823E-03  2.61E+00  1.52E-13  1.12E-13  6.64E-15  8.63E-02  8.58E+00  2.85E+05  
     957   1.1178831822E-03  2.61E+00  9.57E-14  2.60E-13  4.19E-15  3.16E-01  8.58E+00  4.41E+05  
     958   1.1178831822E-03  2.61E+00  5.88E-14  9.43E-14  2.57E-15  1.87E-01  8.58E+00  2.85E+05  
     959   1.1178831822E-03  2.61E+00  5.37E-14  9.98E-14  2.35E-15  2.17E-01  8.58E+00  4.41E+05  

     960   1.1178831822E-03  2.61E+00  4.66E-14  3.35E-12  2.04E-15  8.38E+00  8.58E+00  2.85E+05  

 Exit  MINRES-QLP.       istop =  8              itn    =     960
 Exit  MINRES-QLP.       Anorm =  8.5781E+00     Acond  =  2.8527E+05
 Exit  MINRES-QLP.       rnorm =  4.6611E-14     Arnorm =  3.3499E-12
 Exit  MINRES-QLP.       xnorm =  2.6062E+00
 Exit  MINRES-QLP.       The iteration limit was reached.                                 
