  Nw:      100000
 Nhn:           5
 Nhp:           5
  Np:          70
   81    -3.38428  -0.00124   15.02493    9.62110   -1.32552   23.39490
   82    -3.48973   0.00402   14.81213    9.43989   -1.36604   24.67639
   83    -3.61657   0.00731   14.49789    9.21070   -1.41860   25.27368
   84         NaN       NaN        NaN        NaN    1.00000    3.34979
   85         NaN       NaN        NaN        NaN   -3.00000    2.53156
   86         NaN       NaN        NaN        NaN    1.00000    2.53522
   87         NaN       NaN        NaN        NaN    1.00000    2.52136
   88         NaN       NaN        NaN        NaN    1.00000    2.53094
   89         NaN       NaN        NaN        NaN   -3.00000    2.54230
   90         NaN       NaN        NaN        NaN    1.00000    2.55713
   91         NaN       NaN        NaN        NaN    1.00000    2.48932
   92         NaN       NaN        NaN        NaN    1.00000    2.56659
   93         NaN       NaN        NaN        NaN   -3.00000    2.55133
   94     5.00000   0.00000    0.00000        NaN    5.00000    2.43549
   95         NaN       NaN        NaN        NaN   -3.00000    2.55157
   96         NaN       NaN        NaN        NaN   -3.00000    2.52057
   97         NaN       NaN        NaN        NaN    1.00000    2.52631
   98         NaN       NaN        NaN        NaN    1.00000    2.51501
   99         NaN       NaN        NaN        NaN    1.00000    2.48212
  100         NaN       NaN        NaN        NaN    1.00000    2.48285
    1         NaN       NaN        NaN        NaN    1.00000    2.51208
    2         NaN       NaN        NaN        NaN    1.00000    2.47040
    3         NaN       NaN        NaN        NaN    1.00000    2.52979
    4         NaN       NaN        NaN        NaN    1.00000    2.52130
    5         NaN       NaN        NaN        NaN    1.00000    2.46552
    6         NaN       NaN        NaN        NaN   -3.00000    2.54028
    7         NaN       NaN        NaN        NaN    1.00000    2.52283
    8         NaN       NaN        NaN        NaN    1.00000    2.50891
    9         NaN       NaN        NaN        NaN    1.00000    2.48529
   10         NaN       NaN        NaN        NaN   -3.00000    2.55896
   11         NaN       NaN        NaN        NaN    1.00000    2.70776
   12         NaN       NaN        NaN        NaN    1.00000    2.55402
   13         NaN       NaN        NaN        NaN   -3.00000    2.54749
   14         NaN       NaN        NaN        NaN    1.00000    2.55872
