

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =    230      checkA   =   T          precon   =   F
 itnlim   =    920      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     310   1.6370301716E-01  -2.9206729396E-01  4.20E+00  9.06E-04  1.23E-02  2.31E-07  1.46E-02  9.33E+02  1.71E+05  
     320   1.6242051342E-01  -2.9857577446E-01  4.25E+00  8.52E-04  5.98E-04  2.14E-07  7.52E-04  9.33E+02  1.71E+05  
     330   1.6115767476E-01  -3.0479389970E-01  4.31E+00  8.01E-04  2.57E-04  1.99E-07  3.44E-04  9.33E+02  1.71E+05  
     340   1.5874204093E-01  -3.1385005388E-01  4.40E+00  7.27E-04  1.91E-03  1.77E-07  2.82E-03  9.33E+02  2.10E+05  
     350   1.5663664263E-01  -3.1952421942E-01  4.45E+00  6.81E-04  1.07E-02  1.64E-07  1.69E-02  9.33E+02  2.10E+05  
     360   1.5501156329E-01  -3.2295670587E-01  4.48E+00  6.54E-04  2.86E-03  1.56E-07  4.68E-03  9.33E+02  2.10E+05  
     370   1.5109233198E-01  -3.3022954711E-01  4.54E+00  6.00E-04  3.89E-03  1.42E-07  6.95E-03  9.33E+02  2.62E+05  
     380   1.4615350576E-01  -3.3792063431E-01  4.61E+00  5.47E-04  8.65E-04  1.27E-07  1.70E-03  9.33E+02  2.62E+05  
     390   1.4387677476E-01  -3.4130026457E-01  4.63E+00  5.25E-04  2.57E-02  1.21E-07  5.25E-02  9.33E+02  2.62E+05  
     400   1.3970620783E-01  -3.4760425950E-01  4.68E+00  4.87E-04  3.01E-04  1.12E-07  6.63E-04  9.33E+02  2.62E+05  
     410   1.3603974989E-01  -3.5334654570E-01  4.72E+00  4.55E-04  1.09E-03  1.03E-07  2.58E-03  9.33E+02  2.62E+05  
     420   1.3382225844E-01  -3.5692212528E-01  4.74E+00  4.36E-04  1.42E-03  9.85E-08  3.49E-03  9.33E+02  2.62E+05  
     430   1.2938469440E-01  -3.6453404642E-01  4.79E+00  3.99E-04  7.96E-03  8.93E-08  2.14E-02  9.33E+02  2.62E+05  
     440   1.2680257301E-01  -3.6936311374E-01  4.81E+00  3.78E-04  4.70E-04  8.40E-08  1.33E-03  9.33E+02  2.62E+05  
     450   1.2465901429E-01  -3.7380456907E-01  4.84E+00  3.59E-04  9.59E-03  7.95E-08  2.86E-02  9.33E+02  2.62E+05  
