

 Enter MINRES-QLP.      Solution of Hermitian   Ax = b
 n        =     99      checkA   =   T          precon   =   F
 itnlim   =    396      rtol     =   2.22E-16   shift    =   0.00000000000000E+00
 maxxnorm =   1.00E+07  Acondlim =   1.00E+15   trancond =   1.00E+07


    iter         x(1)                           xnorm     rnorm     Arnorm   Compatible   LS      norm(A)   cond(A)
     310  -7.8807421980E-04  -3.4890698171E-04  3.69E-02  3.47E-08  2.23E-09  5.53E-09  5.04E-04  1.28E+02  4.07E+06  
     320  -7.8005513394E-04  -3.3944617603E-04  3.71E-02  3.26E-08  1.17E-09  5.18E-09  2.82E-04  1.28E+02  4.07E+06  
     330  -7.7712899492E-04  -3.3630386483E-04  3.71E-02  3.19E-08  6.88E-09  5.05E-09  1.69E-03  1.28E+02  4.07E+06  
     340  -7.7037917566E-04  -3.2953816461E-04  3.73E-02  3.02E-08  4.36E-10  4.76E-09  1.13E-04  1.28E+02  4.55E+06  
     350  -7.6927513427E-04  -3.2605431711E-04  3.74E-02  2.97E-08  3.14E-09  4.69E-09  8.27E-04  1.28E+02  4.55E+06  
     354  -7.6600145837E-04  -3.1518732324E-04  3.76E-02  2.85E-08  2.72E-09  4.47E-09  7.47E-04  1.28E+02  1.03E+07  
     360  -7.6497322763E-04  -3.1164654512E-04  3.77E-02  2.81E-08  3.92E-11  4.40E-09  1.09E-05  1.28E+02  1.03E+07  
     370  -7.6575660266E-04  -3.0911913787E-04  3.78E-02  2.78E-08  2.74E-10  4.36E-09  7.70E-05  1.28E+02  1.03E+07  
     380  -7.6751885128E-04  -3.0422109416E-04  3.79E-02  2.73E-08  1.46E-07  4.27E-09  4.19E-02  1.28E+02  1.03E+07  
     385  -7.7009773461E-04  -2.9883830423E-04  3.80E-02  2.68E-08  5.83E-09  4.17E-09  1.71E-03  1.28E+02  7.22E+06  
     386  -7.7009829824E-04  -2.9883736889E-04  3.80E-02  2.68E-08  4.02E-09  4.17E-09  1.18E-03  1.28E+02  1.03E+07  
     387  -7.7010037963E-04  -2.9883397721E-04  3.80E-02  2.68E-08  6.23E-10  4.17E-09  1.82E-04  1.28E+02  7.22E+06  
     388  -7.7011136667E-04  -2.9881711870E-04  3.80E-02  2.68E-08  5.03E-10  4.17E-09  1.47E-04  1.28E+02  1.03E+07  
     389  -7.7060619102E-04  -2.9808025513E-04  3.81E-02  2.67E-08  1.06E-09  4.15E-09  3.11E-04  1.28E+02  7.22E+06  

     390  -7.7139045017E-04  -2.9691530346E-04  3.81E-02  2.65E-08  6.36E-09  4.13E-09  1.88E-03  1.28E+02  1.03E+07  
     391  -7.7172680932E-04  -2.9641593262E-04  3.81E-02  2.65E-08  4.92E-09  4.11E-09  1.46E-03  1.28E+02  7.22E+06  
     392  -7.7173480850E-04  -2.9640410876E-04  3.81E-02  2.65E-08  2.97E-08  4.11E-09  8.78E-03  1.28E+02  1.03E+07  
     393  -7.7179309362E-04  -2.9631802245E-04  3.81E-02  2.64E-08  2.08E-10  4.11E-09  6.15E-05  1.28E+02  7.22E+06  
     394  -7.7459155167E-04  -2.9235959523E-04  3.83E-02  2.59E-08  3.06E-10  4.02E-09  9.23E-05  1.28E+02  1.25E+07  
     395  -7.7466682192E-04  -2.9225741494E-04  3.83E-02  2.59E-08  4.03E-09  4.02E-09  1.22E-03  1.28E+02  7.22E+06  
     396  -7.7467958872E-04  -2.9224022550E-04  3.83E-02  2.59E-08  2.22E-10  4.02E-09  6.70E-05  1.28E+02  1.25E+07  

 Exit  MINRES-QLP.       istop =  8              itn    =     396
 Exit  MINRES-QLP.       Anorm =  1.2770E+02     Acond  =  1.2513E+07
 Exit  MINRES-QLP.       rnorm =  2.5905E-08     Arnorm =  2.2158E-10
 Exit  MINRES-QLP.       xnorm =  3.8285E-02
 Exit  MINRES-QLP.       The iteration limit was reached.                                 
