 MAKING EXP, SIN, COS, DB DONE...
    1 Egs =     0.87649    0.00256    4.90419    4.47805    0.05000CPU TIME=  25.06656
    2 Egs =     0.86542    0.00153    5.31863    4.41900    0.05000CPU TIME=  24.89147
    3 Egs =     0.86828   -0.00281    4.83956    4.28765    0.05000CPU TIME=  24.99526
    4 Egs =     0.85061   -0.00356    4.85568    4.39556    0.05000CPU TIME=  24.98548
    5 Egs =     0.83816    0.00045    4.86683    4.58598    0.05000CPU TIME=  24.99347
    6 Egs =     0.83272    0.00069    4.90583    4.56816    0.05000CPU TIME=  24.99562
    7 Egs =     0.81552    0.00062    4.94492    4.59987    0.05000CPU TIME=  25.00179
    8 Egs =     0.80121   -0.00180    5.01570    4.73045    0.05000CPU TIME=  24.91881
    9 Egs =     0.78895    0.00219    5.08418    4.84155    0.05000CPU TIME=  24.92372
   10 Egs =     0.77143   -0.00811    4.81024    4.70737    0.05000CPU TIME=  24.94525
   11 Egs =     0.75269    0.00150    5.23525    4.95756    0.05000CPU TIME=  24.93388
   12 Egs =     0.73047   -0.00287    5.12834    5.08450    0.05000CPU TIME=  24.88437
   13 Egs =     0.70689   -0.00586    5.03654    5.20811    0.05000CPU TIME=  26.13895
   14 Egs =     0.68135   -0.00671    5.05559    5.35226    0.05000CPU TIME=  24.98312
   15 Egs =     0.65590    0.00139    5.13704    5.73406    0.05000CPU TIME=  24.81015
   16 Egs =     0.62701   -0.01187    5.07691    5.51229    0.05000CPU TIME=  24.82462
   17 Egs =     0.59904    0.00345    5.30984    5.99801    0.05000CPU TIME=  24.86124
   18 Egs =     0.55742   -0.00302    5.22404    6.09953    0.05000CPU TIME=  24.86243
   19 Egs =     0.51629   -0.00180    5.62857    6.43497    0.05000CPU TIME=  24.86383
   20 Egs =     0.47809   -0.00927    5.90584    6.49181    0.05000CPU TIME=  24.87640
   21 Egs =     0.42203   -0.00442    5.25826    6.67716    0.05000CPU TIME=  24.80115
   22 Egs =     0.37920    0.00214    5.82916    7.12208    0.05000CPU TIME=  24.80115
   23 Egs =     0.32392    0.00685    5.62056    7.24340    0.05000CPU TIME=  24.83618
   24 Egs =     0.26799    0.00311    7.91464    7.48096    0.05000CPU TIME=  24.76373
   25 Egs =     0.20379    0.00161    5.64835    7.56869    0.05000CPU TIME=  24.67407
   26 Egs =     0.13531   -0.00409    5.41432    7.84873    0.05000CPU TIME=  24.68469
   27 Egs =     0.04917   -0.00289    6.22001    8.31610    0.05000CPU TIME=  24.67188
   28 Egs =    -0.00849    0.00907    5.46473    8.24132    0.05000CPU TIME=  24.69177
   29 Egs =    -0.09101    0.01014    5.55145    8.39129    0.05000CPU TIME=  24.63361
   30 Egs =    -0.17389    0.00861    9.37988    8.20620    0.05000CPU TIME=  24.66272
   31 Egs =    -0.28031    0.00317    5.98681    8.49839    0.05000CPU TIME=  24.76886
   32 Egs =    -0.36209    0.00608    5.63317    8.34806    0.05000CPU TIME=  24.76575
   33 Egs =    -0.45509    0.00337    5.50529    8.19323    0.05000CPU TIME=  24.78308
   34 Egs =    -0.55225    0.00196    5.42602    8.19999    0.05000CPU TIME=  24.89911
   35 Egs =    -0.64965    0.00083    6.19524    7.81992    0.05000CPU TIME=  24.92804
   36 Egs =    -0.76744    0.00204    6.78872    7.68666    0.05000CPU TIME=  25.06714
   37 Egs =    -0.84836    0.00232    6.10160    7.29008    0.05000CPU TIME=  25.04218
   38 Egs =    -0.95935   -0.00236    7.55988    7.06994    0.05000CPU TIME=  25.15125
   39 Egs =    -1.05236    0.01088    8.13936    6.98624    0.05000CPU TIME=  25.30609
   40 Egs =    -1.15210    0.00073    5.26885    6.76376    0.05000CPU TIME=  25.32330
   41 Egs =    -1.25140    0.00488    6.24412    6.44906    0.05000CPU TIME=  25.52380
   42 Egs =    -1.35441   -0.00776    8.89287    6.16535    0.05000CPU TIME=  25.69690
   43 Egs =    -1.43712    0.00759    5.21033    5.92544    0.05000CPU TIME=  25.80408
   44 Egs =    -1.52418   -0.00466    7.25192    5.91453    0.05000CPU TIME=  25.93201
   45 Egs =    -1.61437    0.02360   68.50714    5.66717    0.05000CPU TIME=  26.16895
   46 Egs =    -1.72265   -0.00848    3.92338    5.09595    0.05000CPU TIME=  26.38354
   47 Egs =    -1.78618   -0.00268    4.87109    4.94675    0.05000CPU TIME=  26.48633
   48 Egs =    -1.86919    0.00316    4.79272    4.74939    0.05000CPU TIME=  26.66992
   49 Egs =    -1.94219   -0.00107    5.95664    4.38040    0.05000CPU TIME=  26.91602
   50 Egs =    -2.03509    0.00477    5.40881    4.19613    0.05000CPU TIME=  27.20667
   51 Egs =    -2.10638   -0.00654    4.47545    3.82333    0.05000CPU TIME=  27.42957
   52 Egs =    -2.16644   -0.00189    7.16055    3.66262    0.05000CPU TIME=  27.77124
   53 Egs =    -2.24919   -0.00115    4.08650    3.44178    0.05000CPU TIME=  27.97974
   54 Egs =    -2.30819    0.01431    5.11284    3.38429    0.05000CPU TIME=  28.30457
   55 Egs =    -2.37496    0.00567    4.91024    3.16764    0.05000CPU TIME=  28.59338
   56 Egs =    -2.43952    0.00843    6.12267    3.05285    0.05000CPU TIME=  28.70569
   57 Egs =    -2.50673   -0.00318    3.14924    2.86224    0.05000CPU TIME=  29.20715
   58 Egs =    -2.56591    0.00069    3.84622    2.65419    0.05000CPU TIME=  29.42432
   59 Egs =    -2.64058   -0.00125    3.63912    2.46785    0.05000CPU TIME=  29.85938
   60 Egs =    -2.69586    0.00919    5.73333    2.21106    0.05000CPU TIME=  30.21838
   61 Egs =    -2.76122   -0.00268    7.02482    2.15072    0.05000CPU TIME=  30.61414
   62 Egs =    -2.81364    0.00165    3.95490    2.02599    0.05000CPU TIME=  31.19275
   63 Egs =    -2.88057    0.00190    3.81167    1.78371    0.05000CPU TIME=  31.71204
   64 Egs =    -2.94146    0.00548    4.10139    1.70759    0.05000CPU TIME=  32.01990
   65 Egs =    -2.98592   -0.00330    2.45273    1.55076    0.05000CPU TIME=  32.56726
   66 Egs =    -3.04518   -0.00232    2.98040    1.42601    0.05000CPU TIME=  33.40063
   67 Egs =    -3.09773   -0.00114    3.32943    1.49482    0.05000CPU TIME=  33.85632
   68 Egs =    -3.14262    0.00193    3.00293    1.43880    0.05000CPU TIME=  34.18445
   69 Egs =    -3.20223    0.00308    3.33267    1.53418    0.05000CPU TIME=  35.05408
   70 Egs =    -3.26384    0.00126    3.00230    1.59792    0.05000CPU TIME=  35.32690
   71 Egs =    -3.32489    0.00190    2.41200    1.59217    0.05000CPU TIME=  36.43738
   72 Egs =    -3.38378    0.00351    2.23494    1.64421    0.05000CPU TIME=  36.95093
   73 Egs =    -3.46121   -0.01302   10.80926    1.71043    0.05000CPU TIME=  37.60425
   74 Egs =    -3.53416   -0.00731    4.57064    1.85138    0.05000CPU TIME=  38.37524
   75 Egs =    -3.60262   -0.00024    1.76345    1.97539    0.05000CPU TIME=  38.83069
   76 Egs =    -3.67347   -0.00199    2.54293    2.19013    0.05000CPU TIME=  39.18604
   77 Egs =    -3.73781    0.00456    5.85867    2.16811    0.05000CPU TIME=  40.26880
   78 Egs =    -3.78880    0.00010    1.48749    2.24728    0.05000CPU TIME=  40.76953
   79 Egs =    -3.84609    0.00045    1.35192    2.10885    0.05000CPU TIME=  41.81128
   80 Egs =    -3.89484    0.00231    1.14719    1.97161    0.05000CPU TIME=  43.02075
   81 Egs =    -3.93894    0.00321    1.29708    1.82202    0.05000CPU TIME=  43.03320
   82 Egs =    -3.96163    0.00052    1.06077    2.75385    0.05000CPU TIME=  44.38110
   83 Egs =    -4.01040    0.00309    0.62623    1.88922    0.05000CPU TIME=  45.89136
   84 Egs =    -4.04449    0.00172    0.60435    1.44703    0.05000CPU TIME=  46.07764
   85 Egs =    -4.06510   -0.00092    2.30277    1.40433    0.05000CPU TIME=  48.27246
   86 Egs =    -4.12027    0.00067    1.15255    1.14126    0.05000CPU TIME=  47.89502
