    1 Egs =    -0.32170    0.00249    1.35962    1.24020    0.05000CPU TIME=  30.43680
    2 Egs =    -0.32015   -0.00177    1.89972    1.18242    0.05000CPU TIME=  30.18621
    3 Egs =    -0.31960    0.00035    1.58747    1.23298    0.05000CPU TIME=  30.41576
    4 Egs =    -0.32383   -0.00128    1.60831    1.21213    0.05000CPU TIME=  30.24026
    5 Egs =    -0.32752   -0.00164    1.87766    1.12265    0.05000CPU TIME=  30.50761
    6 Egs =    -0.32691   -0.00126    1.35964    1.13611    0.05000CPU TIME=  30.59732
    7 Egs =    -0.33492   -0.00163    1.42794    1.13794    0.05000CPU TIME=  30.57448
    8 Egs =    -0.33664   -0.00087    1.25515    1.11205    0.05000CPU TIME=  30.50304
    9 Egs =    -0.34480   -0.00019    1.49259    1.06258    0.05000CPU TIME=  30.58237
   10 Egs =    -0.34685    0.00424    1.36357    1.04566    0.05000CPU TIME=  30.76782
   11 Egs =    -0.35101   -0.00033    2.58104    1.03072    0.05000CPU TIME=  30.67178
   12 Egs =    -0.35635    0.00134    1.32755    1.03258    0.05000CPU TIME=  30.68402
   13 Egs =    -0.35567   -0.00163    1.42235    0.99614    0.05000CPU TIME=  31.81464
   14 Egs =    -0.36589   -0.00118    1.44036    0.94943    0.05000CPU TIME=  30.97717
   15 Egs =    -0.36938    0.00458    1.73312    0.93173    0.05000CPU TIME=  30.84381
   16 Egs =    -0.37142    0.00177    1.45522    0.91770    0.05000CPU TIME=  31.01895
   17 Egs =    -0.38200    0.00257    1.39919    0.85356    0.05000CPU TIME=  31.00516
   18 Egs =    -0.39031   -0.00156    2.12526    0.76946    0.05000CPU TIME=  31.30298
   19 Egs =    -0.39830   -0.00655    1.51305    0.78530    0.05000CPU TIME=  31.09949
   20 Egs =    -0.40373   -0.00213    1.47401    0.73679    0.05000CPU TIME=  31.26892
   21 Egs =    -0.40687   -0.00404    1.26086    0.70540    0.05000CPU TIME=  31.16681
   22 Egs =    -0.42171   -0.00033    1.35457    0.67222    0.05000CPU TIME=  31.36652
   23 Egs =    -0.42727   -0.00080    2.09888    0.60950    0.05000CPU TIME=  31.41919
   24 Egs =    -0.43051    0.00109    1.46720    0.62594    0.05000CPU TIME=  31.33948
   25 Egs =    -0.44565    0.00059    1.33341    0.56127    0.05000CPU TIME=  31.67163
   26 Egs =    -0.45010   -0.00418    1.45105    0.54322    0.05000CPU TIME=  31.68298
   27 Egs =    -0.46186    0.00129    1.34670    0.51919    0.05000CPU TIME=  31.76141
   28 Egs =    -0.48004   -0.00359    2.18118    0.41642    0.05000CPU TIME=  31.69861
   29 Egs =    -0.48513   -0.00154    1.48159    0.42368    0.05000CPU TIME=  31.66174
   30 Egs =    -0.49242    0.00305    1.42412    0.42450    0.05000CPU TIME=  31.65582
   31 Egs =    -0.50899   -0.00218    1.50572    0.36695    0.05000CPU TIME=  32.00647
   32 Egs =    -0.51525   -0.00083    1.38552    0.35836    0.05000CPU TIME=  31.99921
   33 Egs =    -0.52483    0.00062    1.17022    0.34040    0.05000CPU TIME=  32.18427
   34 Egs =    -0.54784   -0.00263    1.61300    0.29101    0.05000CPU TIME=  32.25134
   35 Egs =    -0.55442    0.00244    1.42435    0.26713    0.05000CPU TIME=  32.23206
   36 Egs =    -0.56797   -0.00073    1.38127    0.25197    0.05000CPU TIME=  31.99011
   37 Egs =    -0.57846   -0.00049    1.25824    0.24884    0.05000CPU TIME=  32.07703
   38 Egs =    -0.60053   -0.00047    2.04319    0.23257    0.05000CPU TIME=  32.17065
   39 Egs =    -0.61630   -0.00070    1.35596    0.23825    0.05000CPU TIME=  32.27563
   40 Egs =    -0.63376    0.00233    2.05953    0.22446    0.05000CPU TIME=  32.11108
   41 Egs =    -0.64643   -0.00097    1.57061    0.23350    0.05000CPU TIME=  32.01953
   42 Egs =    -0.66594    0.00043    1.50827    0.23438    0.05000CPU TIME=  32.26660
   43 Egs =    -0.68534    0.00137    1.38960    0.24183    0.05000CPU TIME=  32.34766
   44 Egs =    -0.70832    0.00180    1.39514    0.26912    0.05000CPU TIME=  32.53223
   45 Egs =    -0.73589    0.00206    1.81146    0.29601    0.05000CPU TIME=  32.43054
   46 Egs =    -0.75469    0.00037    1.40478    0.33501    0.05000CPU TIME=  32.62183
   47 Egs =    -0.79201    0.00115    1.47989    0.40212    0.05000CPU TIME=  32.80383
   48 Egs =    -0.82595   -0.00273    1.86353    0.46949    0.05000CPU TIME=  32.71509
   49 Egs =    -0.85422   -0.00012    1.36520    0.54044    0.05000CPU TIME=  33.06152
   50 Egs =    -0.88829    0.00130    1.68690    0.63443    0.05000CPU TIME=  33.09058
   51 Egs =    -0.92979   -0.00183    1.60815    0.81589    0.05000CPU TIME=  33.39111
   52 Egs =    -0.97669    0.00251    1.65861    1.02685    0.05000CPU TIME=  33.31140
   53 Egs =    -1.02158    0.00057    2.07788    1.16829    0.05000CPU TIME=  33.60437
   54 Egs =    -1.07199   -0.00342    1.93040    1.45971    0.05000CPU TIME=  33.93469
   55 Egs =    -1.11949   -0.00290    1.52683    1.71636    0.05000CPU TIME=  34.40662
   56 Egs =    -1.17326    0.00003    1.48318    1.94010    0.05000CPU TIME=  34.64893
